tenure_months,monthly_charges,number_of_logins_per_month,number_of_support_tickets,satisfaction_score,last_login_days_ago,subscription_type_premium,subscription_type_standard,contract_type_yearly,usage_frequency_low,usage_frequency_medium,payment_method_Credit Card,payment_method_Digital Wallet,payment_method_PayPal,Churn_Probability,Risk_Level
34,39.56,44,0,3,2,False,False,False,False,False,False,False,True,0.11040707,Low Risk
6,79.76,6,7,3,58,False,True,True,True,False,True,False,False,0.9618337,High Risk
35,70.84,36,2,5,1,False,True,False,False,False,True,False,False,0.019261412,Low Risk
4,106.03,36,3,3,63,True,False,False,False,False,True,False,False,0.99982363,High Risk
1,90.1,25,6,3,24,True,False,False,False,False,False,False,True,0.9902863,High Risk
4,35.67,4,3,2,24,False,False,False,True,False,False,False,False,0.97767115,High Risk
15,23.41,8,4,1,38,False,False,False,True,False,True,False,False,0.9725177,High Risk
24,26.43,16,2,5,19,False,False,False,False,True,True,False,False,0.03388552,Low Risk
19,35.01,5,3,5,12,False,False,False,True,False,True,False,False,0.0407302,Low Risk
5,73.17,14,1,4,18,False,True,False,False,True,True,False,False,0.07928036,Low Risk
21,33.19,23,3,4,12,False,False,True,False,True,False,False,False,0.012578007,Low Risk
8,39.57,11,3,2,12,False,False,False,True,False,False,False,True,0.8510792,High Risk
5,58.75,11,6,2,38,False,True,False,True,False,False,False,True,0.9929396,High Risk
19,120.64,28,2,2,42,True,False,False,False,False,True,False,False,0.99525756,High Risk
25,145.88,41,1,4,2,True,False,True,False,False,False,False,False,0.0049910927,Low Risk
26,28.32,28,1,4,4,False,False,True,False,False,False,True,False,0.0041337935,Low Risk
11,57.86,10,3,2,15,False,True,False,False,True,False,False,True,0.919656,High Risk
5,57.53,28,1,4,5,False,True,False,False,False,True,False,False,0.04470571,Low Risk
16,57.46,10,1,4,9,False,True,True,True,False,False,False,False,0.0068654125,Low Risk
6,120.02,10,2,5,54,True,False,False,False,True,False,False,True,0.9447476,High Risk
12,33.95,22,7,3,60,False,False,False,False,False,False,True,False,0.99971396,High Risk
10,50.1,12,1,4,17,False,True,False,False,True,True,False,False,0.05717782,Low Risk
32,64.81,13,9,3,83,False,True,True,False,True,False,False,False,0.99953544,High Risk
33,120.9,24,2,5,5,True,False,False,False,False,True,False,False,0.011635165,Low Risk
1,91.57,35,1,5,5,True,False,True,False,False,False,False,True,0.018435609,Low Risk
11,149.3,37,2,5,4,True,False,True,False,False,True,False,False,0.01619724,Low Risk
15,72.59,22,1,5,18,False,True,True,False,True,False,True,False,0.0062101022,Low Risk
25,51.66,8,2,4,4,False,True,False,False,True,True,False,False,0.02613808,Low Risk
28,101.71,6,0,3,34,True,False,True,True,False,False,False,False,0.2709688,Low Risk
6,51.37,17,0,4,3,False,True,False,False,True,False,False,True,0.03719269,Low Risk
31,64.58,8,4,1,67,False,True,True,False,True,True,False,False,0.9994424,High Risk
1,37.73,9,4,3,39,False,False,False,True,False,True,False,False,0.95665866,High Risk
2,30.58,22,1,5,17,False,False,False,False,True,True,False,False,0.046070416,Low Risk
30,35.38,24,3,5,17,False,False,True,False,True,True,False,False,0.017109895,Low Risk
14,56.23,10,5,5,8,False,True,False,False,True,False,True,False,0.110189505,Low Risk
33,75.6,45,4,2,54,False,True,False,False,False,True,False,False,0.9986154,High Risk
21,26.46,10,2,4,51,False,False,True,True,False,True,False,False,0.03963863,Low Risk
25,32.28,10,4,1,62,False,False,True,False,True,True,False,False,0.9994154,High Risk
12,28.43,20,6,1,5,False,False,False,False,True,True,False,False,0.96975774,High Risk
12,28.12,12,0,3,70,False,False,False,False,True,True,False,False,0.9993955,High Risk
14,51.32,24,4,5,20,False,True,True,False,True,True,False,False,0.03005566,Low Risk
22,58.25,49,2,4,5,False,True,True,False,False,True,False,False,0.0026549427,Low Risk
22,52.64,9,5,5,72,False,True,False,True,False,True,False,False,0.99631834,High Risk
25,30.17,22,1,5,13,False,False,True,False,True,True,False,False,0.0032170517,Low Risk
32,25.63,10,2,5,44,False,False,True,True,False,True,False,False,0.046956,Low Risk
2,64.77,12,3,3,8,False,True,True,False,True,False,False,False,0.36250538,Low Risk
12,100.01,48,0,3,0,True,False,False,False,False,True,False,False,0.089060076,Low Risk
6,25.17,37,1,3,3,False,False,False,False,False,False,False,True,0.24391563,Low Risk
23,59.84,9,2,4,15,False,True,False,False,True,True,False,False,0.05083265,Low Risk
21,21.29,5,0,4,32,False,False,False,True,False,True,False,False,0.13548946,Low Risk
31,65.44,44,2,4,4,False,True,False,False,False,False,False,True,0.023967745,Low Risk
9,33.87,6,4,5,35,False,False,True,True,False,True,False,False,0.36161706,Low Risk
26,38.03,16,1,5,3,False,False,True,False,True,False,False,True,0.0043159174,Low Risk
32,53.49,11,1,1,58,False,True,True,True,False,False,False,True,0.8427501,High Risk
35,29.31,9,0,4,27,False,False,True,True,False,False,False,True,0.018373856,Low Risk
12,60.76,11,4,5,18,False,True,True,False,True,False,False,True,0.07183014,Low Risk
34,65.14,13,2,2,20,False,True,True,False,True,True,False,False,0.34037426,Low Risk
24,62.43,24,1,4,17,False,True,True,False,True,True,False,False,0.0070662173,Low Risk
20,50.02,8,1,4,10,False,True,False,False,True,False,False,True,0.022075344,Low Risk
25,26.76,21,2,5,15,False,False,True,False,True,False,False,True,0.006912019,Low Risk
21,23.28,15,1,4,11,False,False,True,False,True,False,False,True,0.0038340401,Low Risk
3,68.16,22,2,4,6,False,True,False,False,False,False,False,True,0.046139378,Low Risk
32,60.77,16,0,4,9,False,True,True,False,True,False,False,True,0.0051365793,Low Risk
32,119.49,43,2,4,2,True,False,True,False,False,True,False,False,0.006097932,Low Risk
2,38.84,40,9,1,46,False,False,False,False,False,True,False,False,0.9998233,High Risk
9,29.05,22,0,3,12,False,False,False,False,True,False,False,True,0.19381893,Low Risk
15,35.36,20,1,5,15,False,False,True,False,True,True,False,False,0.0075116293,Low Risk
12,34.48,22,8,1,0,False,False,True,False,False,True,False,False,0.9932414,High Risk
24,34.72,26,2,5,1,False,False,True,False,False,False,True,False,0.0038978448,Low Risk
1,140.8,26,11,1,0,True,False,False,False,False,False,False,False,0.9959805,High Risk
26,73.61,9,1,5,8,False,True,True,False,True,True,False,False,0.003594166,Low Risk
23,111.27,11,2,1,10,True,False,True,False,True,False,True,False,0.07194147,Low Risk
15,39.11,10,1,2,6,False,False,False,False,True,False,False,False,0.24737579,Low Risk
18,24.15,37,4,1,6,False,False,True,False,False,False,False,True,0.364618,Low Risk
11,34.26,24,4,5,11,False,False,True,False,True,True,False,False,0.05213138,Low Risk
11,30.47,8,4,3,7,False,False,False,False,True,False,False,True,0.4792903,Medium Risk
16,38.83,48,3,1,0,False,False,True,False,False,False,False,True,0.27379623,Low Risk
8,146.23,22,2,5,11,True,False,False,False,True,False,False,True,0.014671202,Low Risk
15,36.7,13,1,1,15,False,False,True,False,True,True,False,False,0.30788973,Low Risk
3,65.9,8,1,3,88,False,True,False,False,True,False,False,False,0.9993594,High Risk
25,26.73,18,3,4,3,False,False,True,False,True,False,False,False,0.011909942,Low Risk
13,74.32,9,1,4,51,False,True,True,True,False,True,False,False,0.050487787,Low Risk
10,70.37,2,4,2,41,False,True,False,True,False,False,True,False,0.9686142,High Risk
17,62.38,11,4,2,46,False,True,True,True,False,True,False,False,0.9223861,High Risk
6,23.25,4,6,2,87,False,False,True,True,False,False,False,True,0.9990139,High Risk
5,74.09,8,0,5,7,False,True,True,True,False,True,False,False,0.037723333,Low Risk
10,26.67,8,2,4,20,False,False,False,False,True,True,False,False,0.045724913,Low Risk
9,65.08,14,1,5,11,False,True,True,False,True,False,False,True,0.013266151,Low Risk
22,131.84,18,0,1,10,True,False,True,False,True,False,False,False,0.06529768,Low Risk
2,132.21,8,6,4,38,True,False,False,True,False,False,False,False,0.90673214,High Risk
35,138.99,36,1,5,0,True,False,True,False,False,True,False,False,0.0036059204,Low Risk
30,52.09,18,2,5,15,False,True,True,False,True,True,False,False,0.008688511,Low Risk
27,91.84,11,1,3,9,True,False,True,False,True,False,False,True,0.026546132,Low Risk
26,22.48,14,5,1,73,False,False,False,False,True,True,False,False,0.99976,High Risk
15,23.96,22,0,5,10,False,False,True,False,True,True,False,False,0.0033596328,Low Risk
30,60.26,16,8,1,3,False,True,False,False,True,False,False,True,0.9970311,High Risk
2,38.02,7,2,4,56,False,False,True,True,False,False,False,True,0.15580122,Low Risk
21,72.06,3,2,4,44,False,True,False,True,False,False,False,True,0.15343346,Low Risk
30,25.58,12,5,4,10,False,False,False,False,True,False,False,True,0.17215925,Low Risk
11,55.19,21,3,4,13,False,True,True,False,True,False,False,True,0.029439645,Low Risk
20,30.82,5,1,4,13,False,False,True,True,False,False,False,False,0.00724722,Low Risk
30,23.37,3,1,2,64,False,False,True,True,False,True,False,False,0.9949779,High Risk
16,22.7,6,6,4,12,False,False,True,True,False,False,False,True,0.06984324,Low Risk
13,62.33,14,0,2,9,False,True,True,False,True,True,False,False,0.19131629,Low Risk
2,73.36,18,2,5,9,False,True,False,False,True,False,True,False,0.03593028,Low Risk
7,120.75,35,3,5,1,True,False,False,False,False,False,False,True,0.031344976,Low Risk
29,134.62,48,2,3,3,True,False,True,False,False,True,False,False,0.022190936,Low Risk
25,55.36,15,5,3,13,False,True,True,False,True,True,False,False,0.18063372,Low Risk
1,32.14,8,9,3,73,False,False,False,False,True,False,True,False,0.99977106,High Risk
17,27.19,13,0,5,6,False,False,True,False,True,True,False,False,0.0032543964,Low Risk
33,56.78,24,3,3,10,False,True,True,False,True,False,False,True,0.08003652,Low Risk
35,77.57,40,7,3,0,False,True,False,False,False,False,False,True,0.88768697,High Risk
29,51.24,22,4,5,18,False,True,True,False,True,False,True,False,0.023699112,Low Risk
